Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6303449924	13008.1582031250	1.9815788269	21594.4355468750	0.2947205561	19434.9919921875	21594.4355468750	19434.9919921875	9434.9919921875	613.5000000000	15.3789600525	19434.9919921875
0.6303565622	13031.1289062500	1.9983072281	21594.4355468750	0.2947604186	19434.9919921875	21594.4355468750	19434.9919921875	9434.9919921875	613.5000000000	15.3789600525	19434.9919921875
0.6303681659	13005.0419921875	2.0166761875	21594.4355468750	0.2947100356	19434.9919921875	21594.4355468750	19434.9919921875	9434.9919921875	613.5000000000	15.3789600525	19434.9919921875
0.6303797203	13019.4755859375	2.0329461098	21740.2089843750	0.2921681281	19566.1880859375	21740.2089843750	19566.1880859375	9566.1880859375	613.5000000000	15.5928086160	19566.1880859375
0.6303912757	13028.9970703125	2.0513594151	21740.2089843750	0.2923520733	19566.1880859375	21740.2089843750	19566.1880859375	9566.1880859375	613.5000000000	15.5928086160	19566.1880859375
0.6304028734	13019.3779296875	2.0682041645	21740.2089843750	0.2921556272	19566.1880859375	21740.2089843750	19566.1880859375	9566.1880859375	613.5000000000	15.5928086160	19566.1880859375
0.6304144330	12987.0302734375	2.0868239403	21740.2089843750	0.2921963636	19566.1880859375	21740.2089843750	19566.1880859375	9566.1880859375	613.5000000000	15.5928086160	19566.1880859375
0.6304259343	13016.8671875000	2.1015946865	21740.2089843750	0.2921863943	19566.1880859375	21740.2089843750	19566.1880859375	9566.1880859375	613.5000000000	15.5928086160	19566.1880859375
0.6304375289	13007.7314453125	2.1240878105	21686.2910156250	0.2930902047	19517.6619140625	21686.2910156250	19517.6619140625	9517.6619140625	613.5000000000	15.5137113514	19517.6619140625
0.6304491765	13042.9355468750	2.1656405926	21686.2910156250	0.2935798074	19517.6619140625	21686.2910156250	19517.6619140625	9517.6619140625	613.5000000000	15.5137113514	19517.6619140625
0.6304607256	13010.0947265625	2.2219190598	21686.2910156250	0.2932141861	19517.6619140625	21686.2910156250	19517.6619140625	9517.6619140625	613.5000000000	15.5137113514	19517.6619140625
0.6304723123	13004.9833984375	2.2752847672	21686.2910156250	0.2933808313	19517.6619140625	21686.2910156250	19517.6619140625	9517.6619140625	613.5000000000	15.5137113514	19517.6619140625
0.6304838938	13015.9208984375	2.3298141956	21686.2910156250	0.2933832548	19517.6619140625	21686.2910156250	19517.6619140625	9517.6619140625	613.5000000000	15.5137113514	19517.6619140625
0.6304954634	13027.5839843750	2.3613357544	21881.1992187500	0.2899619772	19693.0792968750	21881.1992187500	19693.0792968750	9693.0792968750	613.5000000000	15.7996402557	19693.0792968750
0.6305070376	13017.5605468750	2.3971982002	21881.1992187500	0.2896735346	19693.0792968750	21881.1992187500	19693.0792968750	9693.0792968750	613.5000000000	15.7996402557	19693.0792968750
0.6305185915	13017.3037109375	2.4267401695	21881.1992187500	0.2902527657	19693.0792968750	21881.1992187500	19693.0792968750	9693.0792968750	613.5000000000	15.7996402557	19693.0792968750
0.6305300149	13017.4287109375	2.4623193741	21881.1992187500	0.2897602578	19693.0792968750	21881.1992187500	19693.0792968750	9693.0792968750	613.5000000000	15.7996402557	19693.0792968750
0.6305417744	13022.9931640625	2.4747767448	21881.1992187500	0.2899732918	19693.0792968750	21881.1992187500	19693.0792968750	9693.0792968750	613.5000000000	15.7996402557	19693.0792968750
0.6305532262	13035.7500000000	2.4968433380	22123.3789062500	0.2861502923	19911.0410156250	22123.3789062500	19911.0410156250	9911.0410156250	613.5000000000	16.1549160809	19911.0410156250
0.6305649051	13012.1357421875	2.5172896385	22123.3789062500	0.2855784864	19911.0410156250	22123.3789062500	19911.0410156250	9911.0410156250	613.5000000000	16.1549160809	19911.0410156250
0.6305764837	13026.4589843750	2.5363202095	22123.3789062500	0.2860765208	19911.0410156250	22123.3789062500	19911.0410156250	9911.0410156250	613.5000000000	16.1549160809	19911.0410156250
0.6305880427	13024.4833984375	2.5588865280	22123.3789062500	0.2858915585	19911.0410156250	22123.3789062500	19911.0410156250	9911.0410156250	613.5000000000	16.1549160809	19911.0410156250
0.6305996164	13021.2695312500	2.5749995708	22123.3789062500	0.2856409787	19911.0410156250	22123.3789062500	19911.0410156250	9911.0410156250	613.5000000000	16.1549160809	19911.0410156250
0.6306112043	13025.5029296875	2.5841603279	22277.6972656250	0.2832085662	20049.9275390625	22277.6972656250	20049.9275390625	10049.9275390625	613.5000000000	16.3812999822	20049.9275390625
