Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6073198830	0.5592274666	3.5426578522
0.6073777502	0.5590578914	3.5427446365
0.6074356183	0.5586642623	3.5429461002
0.6074934840	0.5584695339	3.5430457592
0.6075513524	0.5580642819	3.5432531834
0.6076092439	0.5606242418	3.5419430733
0.6076670933	8.8503961563	0.7147946358
0.6077249731	24.7282543182	-0.9283185601
0.6077828412	31.9470615387	-1.1300742626
0.6078407191	36.3060035706	-1.1952055693
0.6078985695	38.9855613708	-1.2226716280
0.6079564461	41.0668144226	-1.2392439842
0.6080143165	39.6407814026	-1.2282865047
0.6080721791	21.9323406219	-0.7984484434
0.6081300617	13.1748657227	-0.0259417724
0.6081879186	9.1825046539	0.6451702118
0.6082457966	6.7568993568	1.2146003246
0.6083036640	5.1395020485	1.6838788986
0.6083615398	3.8485674858	2.1203706264
0.6084194251	2.9876377583	2.4463322163
0.6084772961	2.2849473953	2.7352309227
0.6085351463	1.7783133984	2.9572250843
0.6085930283	1.3704391718	3.1447732449
0.6086508871	1.0875880718	3.2796559334
0.6087087562	0.8342213035	3.4039449692
0.6087666561	0.7068215609	3.4677078724
0.6088245162	0.6545713544	3.4941077232
0.6088823715	0.6271497011	3.5080211163
0.6089402582	0.6155399680	3.5139238834
0.6089981161	0.6181257963	3.5126085281
0.6090560084	0.6474974751	3.4976930618
0.6091138752	0.8341814876	3.4039647579
0.6091717280	1.4505347013	3.1073040962
0.6092296153	2.4676175117	2.6580564976
0.6092874785	3.8776395321	2.1098721027
0.6093453552	5.6925067902	1.5143399239
0.6094032233	7.9411096573	0.9183934331
0.6094610841	10.4898910522	0.3936132491
0.6095189649	13.2309932709	-0.0335057825
0.6095768294	16.1742687225	-0.3734593093
0.6096347274	19.1124629974	-0.6222763062
0.6096925861	21.9921169281	-0.8016448021
0.6097504580	24.7288246155	-0.9283413291
0.6098083308	27.3137245178	-1.0186781883
0.6098661882	29.6606521606	-1.0818704367
0.6099240861	31.8175830841	-1.1276440620
0.6099819469	33.7758636475	-1.1610776186
0.6100398159	35.4730644226	-1.1849600077
0.6100976886	36.9417343140	-1.2024412155
0.6101555497	38.3467636108	-1.2168107033
0.6102134147	39.5412178040	-1.2274581194
0.6102712957	40.5635795593	-1.2355639935
0.6103291658	40.9603309631	-1.2384815216
0.6103870315	41.0349426270	-1.2390166521
0.6104449134	41.0118255615	-1.2388513088
0.6105027935	41.0218009949	-1.2389227152
0.6105606438	41.0279846191	-1.2389669418
0.6106185492	41.0631332397	-1.2392177582
0.6106763992	41.0765647888	-1.2393133640
0.6107342715	41.1256637573	-1.2396616936
0.6107921448	41.1422195435	-1.2397787571
0.6108500301	41.2110557556	-1.2402632236
0.6109079048	41.2793655396	-1.2407405376
0.6109657613	41.3507957458	-1.2412359715
0.6110236334	41.4149627686	-1.2416778803
0.6110815053	41.5206336975	-1.2423990965
0.6111393592	41.6320266724	-1.2431507111
0.6111972393	41.7273330688	-1.2437868118
