Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6515910212	0.8095200062	3.4162409306
0.6516488921	0.7632824779	3.4393436909
0.6517067570	0.7288660407	3.4566133022
0.6517646396	0.6850997210	3.4786653519
0.6518224973	0.6569306850	3.4929125309
0.6518803800	0.6534773707	3.4946620464
0.6519382415	0.6447470784	3.4990878105
0.6519961202	0.6345460415	3.5042643547
0.6520540001	0.6336411834	3.5047237873
0.6521118485	0.6245281100	3.5093533993
0.6521697242	0.6164660454	3.5134527683
0.6522276165	0.6150704026	3.5141627789
0.6522854753	0.6109188795	3.5162754059
0.6523433378	0.6096303463	3.5169312954
0.6524011959	0.6081556678	3.5176820755
0.6524590817	0.6059241295	3.5188183784
0.6525169551	0.6033387780	3.5201351643
0.6525748185	0.6013765335	3.5211348534
0.6526326924	0.5987634063	3.5224664211
0.6526905730	0.5972426534	3.5232415199
0.6527484318	0.5953340530	3.5242145061
0.6528062927	0.5944062471	3.5246875286
0.6528641763	0.5935029387	3.5251481533
0.6529220467	0.5925089717	3.5256550312
0.6529799255	0.5916249752	3.5261058807
0.6530377851	0.5907284021	3.5265631676
0.6530956721	0.5901469588	3.5268597603
0.6531535328	0.5893833041	3.5272493362
0.6532113830	0.5891084671	3.5273895264
0.6532692632	0.5888757706	3.5275082588
0.6533271394	0.5878177881	3.5280480385
0.6533849996	0.5879173279	3.5279972553
0.6534428934	0.5876579881	3.5281295776
0.6535007498	0.5877925754	3.5280609131
0.6535586248	0.5870706439	3.5284292698
0.6536164910	0.5865824223	3.5286784172
0.6536743871	0.5861250162	3.5289118290
0.6537322276	0.5859708190	3.5289905071
0.6537901080	0.5858559012	3.5290491581
0.6538479764	0.5855503678	3.5292050838
0.6539058379	0.5852976441	3.5293340683
0.6539636985	0.5849716067	3.5295004845
0.6540215742	0.5842816830	3.5298526287
0.6540794421	0.5843979716	3.5297932625
0.6541373099	0.5842064619	3.5298910141
0.6541951949	0.5840999484	3.5299453735
0.6542530669	0.5843624473	3.5298113823
0.6543109479	0.5841162801	3.5299370289
0.6543688026	0.5847076774	3.5296351910
0.6544266787	0.5850753188	3.5294475555
0.6544845545	0.5853238106	3.5293207169
0.6545424203	0.5861483812	3.5288999081
0.6546002816	0.5870201588	3.5284550190
0.6546581593	0.5876094103	3.5281543732
0.6547160320	0.5884929895	3.5277035236
0.6547739005	0.5891201496	3.5273835659
0.6548317809	0.5905227661	3.5266680717
0.6548896325	0.5923546553	3.5257337093
0.6549474916	0.5941832066	3.5248012543
0.6550053787	0.5960565805	3.5238461494
0.6550632468	0.5985715985	3.5225641727
0.6551211320	0.6010054350	3.5213239193
0.6551789843	0.6040741205	3.5197606087
0.6552368525	0.6078011990	3.5178625584
0.6552947200	0.6115737557	3.5159420967
0.6553526163	0.6166305542	3.5133690834
0.6554104784	0.6224230528	3.5104234219
0.6554683276	0.6305258274	3.5063059330
0.6555262014	0.6425581574	3.5001981258
0.6555840951	0.6600212455	3.4913473129
0.6556419663	0.6808999181	3.4807868004
0.6556998219	0.7132878304	3.4644508362
0.6557577072	0.7859517336	3.4280028343
0.6558155626	0.8607058525	3.3907968998
0.6558734330	0.9397078156	3.3517944813
0.6559312969	0.9980038404	3.3232221603
0.6559891808	1.0957368612	3.2757134438
0.6560470602	1.2481111288	3.2026138306
0.6561049124	1.3752973080	3.1424915791
0.6561627862	1.4878264666	3.0899665356
0.6562206523	1.6042717695	3.0362663269
0.6562785183	1.6967147589	2.9941024780
0.6563363890	1.8104712963	2.9427788258
0.6563942532	1.9215103388	2.8932719231
0.6564521316	2.0416834354	2.8403422832
0.6565100095	2.1953437328	2.7736339569
0.6565678776	2.3513445854	2.7070071697
0.6566257514	2.4919965267	2.6478688717
0.6566836140	2.6189594269	2.5952348709
0.6567414946	2.7887835503	2.5259258747
0.6567993642	2.9395670891	2.4654202461
0.6568572175	3.0889635086	2.4064133167
0.6569150998	3.2819502354	2.3315536976
0.6569729817	3.4480717182	2.2683250904
0.6570308324	3.6512589455	2.1924805641
0.6570887034	3.8533935547	2.1186256409
0.6571465868	4.0161910057	2.0602784157
0.6572044547	4.1551594734	2.0112583637
0.6572623198	4.3295860291	1.9507398605
0.6573202000	4.5178236961	1.8866670132
0.6573780560	4.6823177338	1.8317090273
0.6574359383	5.0276927948	1.7193762064
0.6574938079	5.3450164795	1.6197146177
0.6575516805	5.5436835289	1.5589971542
0.6576095508	5.7645144463	1.4929832220
0.6576674344	5.8929557800	1.4552893639
0.6577252808	6.0760722160	1.4024257660
0.6577831633	6.2191019058	1.3618394136
0.6578410326	6.3664331436	1.3206682205
0.6578988946	6.5243215561	1.2772517204
0.6579567931	6.6737103462	1.2368332148
0.6580146543	6.8454828262	1.1911393404
0.6580725022	7.0324835777	1.1423273087
0.6581303708	7.1910400391	1.1016880274
0.6581882477	7.3528165817	1.0609183311
0.6582461199	7.5362439156	1.0155266523
0.6583039952	7.7100987434	0.9733074307
0.6583618626	7.8713078499	0.9348452091
0.6584197197	8.0592451096	0.8908243179
0.6584776061	8.2590961456	0.8449610472
0.6585354858	8.3560333252	0.8230610490
0.6585933571	8.5337123871	0.7834973335
0.6586512174	8.7347955704	0.7396078110
0.6587090728	8.8772239685	0.7090791464
0.6587669534	8.9904975891	0.6851254106
0.6588248317	9.1434888840	0.6532235742
0.6588826877	9.3707256317	0.6067807674
0.6589405728	9.6573171616	0.5497730970
0.6589984534	9.8838472366	0.5059167147
0.6590563080	10.0601587296	0.4725010693
0.6591141979	10.1631069183	0.4532752931
0.6591720432	10.2508182526	0.4370588958
0.6592299201	10.3665752411	0.4158860743
0.6592877960	10.4953298569	0.3926375210
0.6593456753	10.6237831116	0.3697560430
0.6594035242	10.7981395721	0.3391901851
0.6594613874	11.1012496948	0.2873731852
0.6595192762	11.3688621521	0.2429822534
0.6595771411	11.5837163925	0.2082389593
0.6596350075	11.7331256866	0.1845387518
0.6596928674	11.9091529846	0.1570915431
0.6597507455	12.0402307510	0.1369818151
0.6598086260	12.1746988297	0.1166390255
0.6598664852	12.2942066193	0.0988000333
0.6599243516	12.4261808395	0.0793600306
0.6599822299	12.5829334259	0.0566190481
0.6600400915	12.7145051956	0.0378195085
0.6600979643	12.8415327072	0.0199152790
0.6601558318	12.9907636642	-0.0008141457
0.6602137096	13.1134128571	-0.0176084582
0.6602715855	13.2753276825	-0.0394489616
0.6603294725	13.3896398544	-0.0546452925
0.6603873222	13.4988260269	-0.0689899921
0.6604451830	13.6207151413	-0.0848094895
0.6605030632	13.7582769394	-0.1024203524
0.6605609399	13.9223051071	-0.1230880469
0.6606188049	14.0703191757	-0.1414332837
0.6606766848	14.1833648682	-0.1552527398
0.6607345444	14.3081274033	-0.1703143418
0.6607924214	14.4311971664	-0.1849785596
0.6608502781	14.5410709381	-0.1979105026
0.6609081544	14.6552906036	-0.2111959159
0.6609660239	14.7816095352	-0.2257034183
0.6610238897	14.9054489136	-0.2397394776
0.6610817630	15.0261611938	-0.2532458007
0.6611396371	15.1539630890	-0.2673590779
0.6611975115	15.2668485641	-0.2796678245
0.6612553775	15.3845767975	-0.2923492193
0.6613132539	15.5174484253	-0.3064739406
0.6613711087	15.6334581375	-0.3186452985
0.6614289882	15.7408037186	-0.3297755420
0.6614868760	15.8604822159	-0.3420369029
0.6615447164	15.9780006409	-0.3539271355
0.6616026042	16.0844669342	-0.3645725846
0.6616604634	16.1880626678	-0.3748168349
0.6617183390	16.3031673431	-0.3860686123
0.6617762088	16.4066638947	-0.3960695565
0.6618340739	16.5049095154	-0.4054626524
0.6618919457	16.6186752319	-0.4162185192
0.6619498259	16.7291603088	-0.4265414476
0.6620076885	16.8290481567	-0.4357711971
0.6620655585	16.9387168884	-0.4457931221
0.6621234238	17.0547084808	-0.4562674761
0.6621813187	17.1592426300	-0.4655979872
0.6622391711	17.2663345337	-0.4750507772
0.6622970522	17.3872985840	-0.4856000841
0.6623549234	17.4969024658	-0.4950433075
0.6624127785	17.6030788422	-0.5040874481
0.6624706544	17.7207145691	-0.5139902234
0.6625285065	17.8298606873	-0.5230689049
0.6625863765	17.9287319183	-0.5312031507
0.6626442770	18.0438556671	-0.5405681729
0.6627021339	18.1532382965	-0.5493615270
0.6627599893	18.2485790253	-0.5569435954
0.6628178874	18.3499126434	-0.5649189353
0.6628757701	18.4598102570	-0.5734726787
0.6629336213	18.5588474274	-0.5810964108
0.6629914764	18.6574516296	-0.5886081457
0.6630493557	18.7663993835	-0.5968173742
0.6631072232	18.8640041351	-0.6040923595
0.6631650920	18.9536705017	-0.6107097268
0.6632229681	19.0571498871	-0.6182692647
0.6632808316	19.1650581360	-0.6260648370
0.6633387066	19.2578506470	-0.6326977015
0.6633965781	19.3557300568	-0.6396241784
0.6634544388	19.4589366913	-0.6468505859
0.6635123185	19.5542488098	-0.6534547806
0.6635701805	19.6408424377	-0.6593973637
0.6636280517	19.7386817932	-0.6660468578
0.6636859238	19.8292293549	-0.6721397638
0.6637437971	19.9063796997	-0.6772855520
0.6638016591	19.9989109039	-0.6834021211
0.6638595367	20.0906524658	-0.6894078851
0.6639174134	20.1731643677	-0.6947599053
0.6639752650	20.2564449310	-0.7001147270
0.6640331407	20.3435211182	-0.7056636214
0.6640910119	20.4226970673	-0.7106648684
0.6641488875	20.5029544830	-0.7156921029
0.6642067479	20.5935096741	-0.7213133574
0.6642646274	20.6704025269	-0.7260445952
0.6643224868	20.7464065552	-0.7306835055
0.6643803770	20.8335342407	-0.7359558344
0.6644382317	20.9229660034	-0.7413173914
0.6644961054	20.9984912872	-0.7458059788
0.6645539796	21.0718441010	-0.7501312494
0.6646118322	21.1541137695	-0.7549427152
0.6646697168	21.2230339050	-0.7589414716
0.6647275852	21.2863597870	-0.7625901103
0.6647854455	21.3697357178	-0.7673568130
0.6648433362	21.4481334686	-0.7718008161
0.6649011866	21.5232982635	-0.7760272026
0.6649590516	21.6060218811	-0.7806400657
0.6650169257	21.6902790070	-0.7852972150
0.6650748051	21.7689056396	-0.7896058559
0.6651326607	21.8428764343	-0.7936269045
0.6651905720	21.9259510040	-0.7981055975
0.6652484151	21.9959239960	-0.8018476367
0.6653062901	22.0707683563	-0.8058196902
0.6653641591	22.1528034210	-0.8101374507
0.6654220280	22.2277355194	-0.8140488863
0.6654799136	22.3009548187	-0.8178410530
0.6655377600	22.3801078796	-0.8219078183
0.6655956332	22.4512691498	-0.8255350590
0.6656534980	22.5106182098	-0.8285394311
0.6657113704	22.5828380585	-0.8321700096
0.6657692454	22.6602325439	-0.8360301852
0.6658271067	22.7289581299	-0.8394316435
0.6658849853	22.7946357727	-0.8426592946
0.6659428715	22.8642864227	-0.8460578918
0.6660007231	22.9298076630	-0.8492321968
0.6660585848	22.9906463623	-0.8521600366
0.6661164642	23.0587730408	-0.8554164171
0.6661743524	23.1237678528	-0.8585013747
0.6662322242	23.1764545441	-0.8609866500
0.6662900715	23.2404975891	-0.8639890552
0.6663479637	23.3076591492	-0.8671159148
0.6664058169	23.3696537018	-0.8699826002
0.6664636815	23.4323158264	-0.8728611469
0.6665215744	23.5068740845	-0.8762615323
0.6665794537	23.5673904419	-0.8790018559
0.6666372944	23.6290817261	-0.8817774653
0.6666951647	23.7009258270	-0.8849871159
0.6667530233	23.7697296143	-0.8880382776
0.6668108899	23.8324298859	-0.8907995224
0.6668687937	23.9032535553	-0.8938965797
0.6669266358	23.9741363525	-0.8969731331
0.6669845220	24.0353488922	-0.8996115327
0.6670423877	24.0983181000	-0.9023079872
0.6671002463	24.1722259521	-0.9054499865
0.6671581245	24.2301692963	-0.9078962207
0.6672160080	24.2916641235	-0.9104760885
0.6672738652	24.3588428497	-0.9132753015
0.6673317271	24.4198265076	-0.9157993197
0.6673896195	24.4733047485	-0.9179993272
0.6674474933	24.5341281891	-0.9204865098
0.6675053378	24.5976085663	-0.9230653048
0.6675632206	24.6489334106	-0.9251376987
0.6676211022	24.7039146423	-0.9273453951
0.6676789563	24.7626991272	-0.9296916127
0.6677368412	24.8184528351	-0.9319034219
0.6677947099	24.8683128357	-0.9338704944
0.6678525821	24.9295978546	-0.9362741113
0.6679104466	24.9819107056	-0.9383136034
0.6679682920	25.0280857086	-0.9401044846
0.6680261627	25.0770282745	-0.9419931769
0.6680840462	25.1339511871	-0.9441775680
0.6681419134	25.1805648804	-0.9459566474
0.6681997827	25.2267704010	-0.9477115273
0.6682576648	25.2792186737	-0.9496931434
0.6683155420	25.3337707520	-0.9517426491
0.6683734010	25.3819541931	-0.9535430670
0.6684312581	25.4397029877	-0.9556889534
0.6684891337	25.4884338379	-0.9574895501
0.6685470092	25.5357952118	-0.9592306614
0.6686048741	25.5822105408	-0.9609286189
0.6686627346	25.6381645203	-0.9629644752
0.6687206279	25.6857662201	-0.9646869898
0.6687784788	25.7326431274	-0.9663748741
0.6688363516	25.7849617004	-0.9682488441
0.6688942209	25.8361320496	-0.9700716734
0.6689520949	25.8823451996	-0.9717095494
0.6690099613	25.9367542267	-0.9736276269
0.6690678458	25.9872932434	-0.9753994346
0.6691257151	26.0278415680	-0.9768141508
0.6691835768	26.0816631317	-0.9786826968
0.6692414458	26.1341476440	-0.9804946184
0.6692993086	26.1984767914	-0.9827017784
0.6693571925	26.2821464539	-0.9855502248
0.6694150734	26.3158950806	-0.9866920114
0.6694729282	26.3552150726	-0.9880172014
0.6695308042	26.3843288422	-0.9889948964
0.6695886646	26.4442558289	-0.9909979701
0.6696465440	26.5275573730	-0.9937613010
0.6697044140	26.5658321381	-0.9950228333
0.6697622704	26.6174640656	-0.9967166185
0.6698201537	26.6618003845	-0.9981637001
0.6698780251	26.7007446289	-0.9994292259
0.6699358922	26.7397174835	-1.0006904602
0.6699937757	26.7956047058	-1.0024900436
0.6700516321	26.8376808167	-1.0038379431
0.6701095022	26.8907012939	-1.0055279732
0.6701673776	26.9387607574	-1.0070517063
0.6702252308	26.9875392914	-1.0085903406
0.6702831101	27.0264835358	-1.0098130703
0.6703409719	27.0722713470	-1.0112442970
0.6703988435	27.1179752350	-1.0126659870
0.6704567253	27.1521263123	-1.0137238503
0.6705145845	27.1916446686	-1.0149432421
0.6705724701	27.2433338165	-1.0165305138
0.6706303301	27.2880058289	-1.0178953409
0.6706882114	27.3222312927	-1.0189366341
0.6707460880	27.3680191040	-1.0203238726
0.6708039369	27.4051704407	-1.0214445591
0.6708618306	27.4448623657	-1.0226370096
0.6709196710	27.4880847931	-1.0239298344
0.6709775444	27.5322036743	-1.0252434015
0.6710354290	27.5653743744	-1.0262269974
0.6710932832	27.6042919159	-1.0273766518
0.6711511492	27.6470184326	-1.0286333561
0.6712090233	27.6872844696	-1.0298125744
0.6712668931	27.7253208160	-1.0309218168
0.6713247817	27.7724361420	-1.0322897434
