Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6606033080	0.5344451666	3.5553574562
0.6606611848	0.5346254110	3.5552649498
0.6607190757	0.9277501702	3.3576769829
0.6607769236	4.5069618225	1.8903297186
0.6608348101	14.7313604355	-0.2199555188
0.6608926776	27.9117603302	-1.0362951756
0.6609505374	29.5205421448	-1.0785211325
0.6610084102	26.2489986420	-0.9844247103
0.6610662871	24.9523506165	-0.9371625781
0.6611241488	26.7244491577	-1.0001969337
0.6611820266	28.0284748077	-1.0396056175
0.6612398913	27.7888202667	-1.0327638388
0.6612977763	27.2770347595	-1.0175607204
0.6613556392	27.1839046478	-1.0147048235
0.6614135026	26.7003688812	-0.9994170070
0.6614713754	26.1643657684	-0.9815332890
0.6615292508	25.5433177948	-0.9595064521
0.6615871039	25.3573493958	-0.9526247978
0.6616449958	25.2131195068	-0.9471939206
0.6617028572	24.5375556946	-0.9206261635
0.6617607307	23.8664436340	-0.8922898173
0.6618185814	23.4202289581	-0.8723074198
0.6618764645	22.9465713501	-0.8500407934
0.6619343229	22.4024677277	-0.8230504990
0.6619921897	22.1466999054	-0.8098175526
0.6620500789	21.6494617462	-0.7830462456
0.6621079481	21.4696559906	-0.7730144262
0.6621658226	21.1328887939	-0.7537053823
0.6622236839	20.7630691528	-0.7316955328
0.6622815503	20.2636852264	-0.7005780935
0.6623394150	19.9345569611	-0.6791545153
0.6623973051	19.3415241241	-0.6386234164
0.6624551703	18.8339939117	-0.6018635631
0.6625130529	18.8668727875	-0.6043050289
0.6625709004	18.4918346405	-0.5759466290
0.6626288015	17.9997825623	-0.5369964838
0.6626866435	17.5817050934	-0.5022749305
0.6627445237	17.4935226440	-0.4947535992
0.6628023760	17.4073657990	-0.4873372614
0.6628602493	16.8923244476	-0.4415677190
0.6629181233	16.4558925629	-0.4007884562
0.6629760004	16.4448909760	-0.3997360468
0.6630338646	16.0868453979	-0.3648090065
0.6630917351	15.7501592636	-0.3307397068
0.6631496099	15.7183570862	-0.3274585903
0.6632074744	15.2876796722	-0.2819232047
0.6632653561	15.0206031799	-0.2526276708
0.6633232191	14.9531793594	-0.2451005876
0.6633810887	14.5055599213	-0.1937473267
0.6634389700	13.9549093246	-0.1271537095
0.6634968313	13.5915317535	-0.0810403824
0.6635547073	13.2739133835	-0.0392599031
0.6636125670	13.4621667862	-0.0641921461
0.6636704377	13.2055997849	-0.0300892368
0.6637283116	12.6900205612	0.0412982590
0.6637861795	12.2668361664	0.1028657928
0.6638440490	11.7778282166	0.1775200218
0.6639019342	11.5503330231	0.2135856152
0.6639597974	11.5040178299	0.2210348099
0.6640176679	11.3966417313	0.2384455502
0.6640755216	11.0369806290	0.2982220352
0.6641334079	10.8022508621	0.3384760618
0.6641912735	10.5949506760	0.3748650849
0.6642491310	10.2247343063	0.4418657124
0.6643070088	10.1004791260	0.4649461806
0.6643648717	10.1526727676	0.4552143514
0.6644227541	9.8206148148	0.5180533528
0.6644806319	9.7466793060	0.5323472023
0.6645384827	9.6338949203	0.5543676019
0.6645963639	9.2521324158	0.6308799982
0.6646542380	9.1238775253	0.6572842598
0.6647121089	8.9420642853	0.6953324080
0.6647699938	8.6778717041	0.7519379258
0.6648278337	8.4952249527	0.7920044661
0.6648857327	8.3126869202	0.8328262568
0.6649435715	8.1588163376	0.8678530455
0.6650014642	8.0380029678	0.8957563639
0.6650593159	7.8306131363	0.9444927573
0.6651172114	7.7372660637	0.9667797089
0.6651750518	7.7476382256	0.9642924666
0.6652329313	7.6001310349	0.9999220967
0.6652907922	7.3041687012	1.0731050968
0.6653486773	7.1119728088	1.1218686104
0.6654065441	7.0676932335	1.1332440376
0.6654644078	6.9501137733	1.1637092829
0.6655222904	6.8029999733	1.2023633718
0.6655801481	6.6511836052	1.2428872585
0.6656380302	6.5228443146	1.2776546478
0.6656959032	6.4809455872	1.2891074419
0.6657537819	6.3249926567	1.3321840763
0.6658116449	6.2118649483	1.3638783693
0.6658695107	6.0577054024	1.4076820612
0.6659273707	5.9495968819	1.4388284683
0.6659852527	5.8655352592	1.4632936716
0.6660431436	5.8026928902	1.4817254543
0.6661009928	5.7150907516	1.5076242685
0.6661588577	5.6016087532	1.5415322781
