Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.5686067934	97.6858367920	-1.3065402508
0.5686646554	NaN	-1.3067378998
0.5687225360	6.0756459236	1.4025475979
0.5687804214	0.5719424486	3.5361549854
0.5688382708	0.5709679723	3.5366530418
0.5688961433	1.2109181881	3.2203483582
0.5689540340	0.6335712075	3.5047593117
0.5690118932	0.6271830201	3.5080041885
0.5690697572	0.6543567777	3.4942164421
0.5691276317	0.6636941433	3.4894878864
0.5691854821	0.6708772182	3.4858534336
0.5692433616	0.6761435866	3.4831905365
0.5693012220	0.6678640842	3.4873776436
0.5693591071	0.6692948937	3.4866538048
0.5694169645	0.6711991429	3.4856905937
0.5694748453	0.6732056737	3.4846758842
0.5695327250	0.6791168451	3.4816877842
0.5695906017	0.6799307466	3.4812765121
0.5696484579	0.6808097959	3.4808323383
0.5697063418	0.6787554622	3.4818704128
0.5697642029	0.6785073280	3.4819958210
0.5698220549	0.6827258468	3.4798643589
0.5698799356	0.6824412346	3.4800081253
0.5699378140	0.6839690804	3.4792363644
0.5699956894	0.6815464497	3.4804601669
0.5700535488	0.6812812090	3.4805941582
0.5701114240	0.6843373179	3.4790503979
0.5701693018	0.6832181215	3.4796156883
0.5702271657	0.6887671351	3.4768135548
0.5702850671	0.6816917658	3.4803867340
0.5703384539	0.6859939098	3.4782137871
0.5703429018	0.6869873405	3.4777121544
0.5704007588	0.6820636988	3.4801988602
start of first - 7mL first baffle
0.5704586349	0.6857974529	3.4783129692
0.5705164999	0.6827154756	3.4798696041
0.5705744008	0.6905837059	3.4758965969
0.5706322475	0.6846252680	3.4789049625
0.5706901252	0.6892375350	3.4765760899
0.5707479909	0.6849368215	3.4787476063
0.5708058714	1.1705691814	3.2396667004
0.5708637401	5.1348490715	1.6853477955
0.5709216155	11.8048896790	0.1732872128
0.5709794787	13.5030860901	-0.0695463046
0.5710373337	16.2844161987	-0.3842449784
0.5710952190	18.0383033752	-0.5401191711
0.5711530914	21.6568965912	-0.7834570408
0.5712109720	24.0416240692	-0.8998811245
0.5712688320	25.3748664856	-0.9532787800
0.5713267002	25.2692756653	-0.9493182898
0.5713845733	24.6754894257	-0.9262056351
0.5714424549	24.7294712067	-0.9283671975
0.5715002839	26.3446636200	-0.9876621366
0.5715581668	26.9270954132	-1.0066825151
0.5716160419	27.4117317200	-1.0216419697
0.5716739114	27.4154167175	-1.0217528343
0.5717317803	28.0095195770	-1.0390707254
0.5717896571	28.6258125305	-1.0559241772
0.5718475301	28.5512313843	-1.0539424419
0.5719054196	27.3254184723	-1.0190334320
0.5719632578	27.4310874939	-1.0222237110
0.5720211429	27.3976821899	-1.0212190151
0.5720790185	27.8256511688	-1.0338265896
0.5721368789	29.0052223206	-1.0657675266
0.5721947584	29.5337638855	-1.0788393021
0.5722526189	29.8443870544	-1.0861881971
0.5723105190	30.4995021820	-1.1009194851
0.5723683582	30.9986152649	-1.1114788055
0.5724262516	31.1515159607	-1.1146038771
0.5724841178	31.1505584717	-1.1145844460
0.5725419750	31.2067241669	-1.1157199144
